,freesound_id,license,name,path,tags,username
61,183100,http://creativecommons.org/licenses/by/3.0/,clp_dust808.wav,files/183100_2394245-hq.ogg,"['free', 'more', 'DWSD', 'tutorials', 'dan', '909', 'npc', '808', 'wray', 'snappy', 'clap', 'samples', 'claps', 'sounds', '2013', 'crispy', 'by', 'Clap', 'pm']",DWSD
62,24787,http://creativecommons.org/publicdomain/zero/1.0/,clap mix2.wav,files/24787_165785-hq.ogg,['clap'],young_daddy
63,131332,http://creativecommons.org/publicdomain/zero/1.0/,clap 1.wav,files/131332_1513948-hq.ogg,"['drum', 'electric', 'synthesizer', 'dance', 'house', 'percussion', 'techno', 'clap']",kaonaya
64,509526,http://creativecommons.org/publicdomain/zero/1.0/,claps.wav,files/509526_8027050-hq.ogg,"['Hand', 'clap', 'rythm']",synthnisse
65,147597,http://creativecommons.org/publicdomain/zero/1.0/,never be clap.wav,files/147597_2173181-hq.ogg,"['Thick', 'Clap', 'Hand']",kendallbear
66,250553,http://creativecommons.org/publicdomain/zero/1.0/,clap ,files/250553_1676145-hq.ogg,"['heavy', 'school', 'old', 'compression', 'electronic', 'heavily', 'snares', 'trance', 'classic', 'club', 'snappy', 'rave', 'compressed', 'dance', 'house', 'claps', 'snare', 'electro', 'techno', 'technoclassic', 'clap']",waveplay.
67,21179,http://creativecommons.org/licenses/by/3.0/,Clap1.aif,files/21179_36084-hq.ogg,"['clap', 'hand', 'room', 'sm57', 'tiled']",ramjac
68,394351,http://creativecommons.org/licenses/by/3.0/,Clap_003.wav,files/394351_3905081-hq.ogg,"['glitch-hop', 'clap', '140BPM', 'sound', 'cracking']",jalastram
69,28225,http://creativecommons.org/licenses/by/3.0/,Clap12.wav,files/28225_129090-hq.ogg,"['clap', 'dry', 'handclap', 'processed', 'slap']",HerbertBoland
70,436674,http://creativecommons.org/publicdomain/zero/1.0/,clap3.wav,files/436674_8904693-hq.ogg,"['hands', 'clap', 'clapping']",herraportti
71,123805,http://creativecommons.org/publicdomain/zero/1.0/,clap for fred.wav,files/123805_2173181-hq.ogg,"['clap', 'wav']",kendallbear
72,15385,http://creativecommons.org/licenses/by-nc/3.0/,Palma 05.wav,files/15385_40665-hq.ogg,"['clap', 'hand', 'human']",pitx
73,196250,http://creativecommons.org/licenses/by/3.0/,clap_00007.wav,files/196250_1332991-hq.ogg,"['Stumber', 'from', 'edited', 'mic', 'recorded', 'Sample', '2013', 'claps', 'stacked', 'Clap']",Stumber
74,316875,http://creativecommons.org/publicdomain/zero/1.0/,TR_DHitA-Clap.wav,files/316875_1490226-hq.ogg,"['1-shot', 'electronic', 'Clap']",dtrostli
75,341593,http://creativecommons.org/licenses/by/3.0/,clap.wav,files/341593_5871007-hq.ogg,"['sound', 'dpsa', 'clap']",dpsa
76,384154,http://creativecommons.org/publicdomain/zero/1.0/,Soft clap 6.wav,files/384154_615735-hq.ogg,"['folk', 'flamenco', 'spanish', 'folklore', 'clap', 'palma', 'percussion', 'palmas']",hypernovajm
77,446600,http://creativecommons.org/publicdomain/zero/1.0/,Clapping,files/446600_9134393-hq.ogg,"['People', 'Clap', 'Sound']",Nicolas4677
78,493717,http://creativecommons.org/publicdomain/zero/1.0/,HandClap14.wav,files/493717_8419061-hq.ogg,"['hand', 'clap', 'gospel', 'choir']",bastianpusch
79,383011,http://creativecommons.org/publicdomain/zero/1.0/,Clap 1.wav,files/383011_3443778-hq.ogg,"['Clap', 'Drum', 'Percussion', 'Sample']",TheDCHeck
