,freesound_id,license,name,path,tags,username
38,307751,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Wobble Brass - B2 (0-R2V8.aif),files/307751_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-47', 'B2']",modularsamples
39,306214,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - DCO Piano - C6 (0-VMH8.aif),files/306214_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-84', 'C6']",modularsamples
40,306230,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Drunk Cat - B2 (0-7XR8.aif),files/306230_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-47', 'B2']",modularsamples
41,306294,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - FunkyWhiner - D3 (50D2-DAX8.aif),files/306294_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-50', 'D3']",modularsamples
42,306795,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Little Bass - D#4 (0-PSL8.aif),files/306795_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-63', 'DSharp4']",modularsamples
43,306863,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Nerd Bass - A#4 (0-8WMC.aif),files/306863_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-70', 'ASharp4']",modularsamples
44,307083,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Rave Stabbing - C3 (0-8Y47.aif),files/307083_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-48', 'C3']",modularsamples
45,307145,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Rising Damp - C#3 (0-8SMU.aif),files/307145_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-49', 'CSharp3']",modularsamples
46,307254,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - S&HOne - A5 (81A4-QMN8.aif),files/307254_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-81', 'A5']",modularsamples
47,307441,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - SnapBass - E4 (64E3-BMW8.aif),files/307441_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-64', 'E4']",modularsamples
48,307501,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - SqrSyn - D#4 (63D#3-FIU8.aif),files/307501_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-63', 'DSharp4']",modularsamples
49,307547,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Sync Down - C3 (0-7UL8.aif),files/307547_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-48', 'C3']",modularsamples
50,306530,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - Ivor Biggun - F2 (0-90Z8.aif),files/306530_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-42', 'F2']",modularsamples
51,306505,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - InSpace - F5 (78F#4-FZW8.aif),files/306505_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-78', 'F5']",modularsamples
52,264021,http://creativecommons.org/publicdomain/zero/1.0/,JX3P DistAcid1-0136.wav,files/264021_4942436-hq.ogg,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",MGFaudio
53,307605,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - SyncShips - A2 (45A1-R8KC.aif),files/307605_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-45', 'A2']",modularsamples
54,306387,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - GasFlowers - A#5 (82A#4-T8N9.aif),files/306387_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-82', 'ASharp5']",modularsamples
55,307400,http://creativecommons.org/publicdomain/zero/1.0/,Roland JX-3P - SlowOne - C6 (84C5-W8FZ.aif),files/307400_2050105-hq.ogg,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-84', 'C6']",modularsamples
56,436929,http://creativecommons.org/licenses/by/3.0/,P8.wav,files/436929_7084587-hq.ogg,"['Song', 'Original', 'Music', 'Piano', 'Sample']",AnthonyAlbanese
57,430544,http://creativecommons.org/publicdomain/zero/1.0/,37-Voz p8.wav,files/430544_7673667-hq.ogg,"['noise', 'male', 'voice']",citeyo1
