,attack_start,attack_stop,attack_time,end_sample,freesound_id,id,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,spec_centroid,start_sample,zero_crossing
112,0.0033333334140479565,0.02151927351951599,-1.7402642965316772,1013248,,None_f56,0.0023776784849663577,-930.0930786132812,244.80911254882812,7.208019256591797,-3.0824737548828125,-17.948261260986328,130.87603759765625,26.460651397705078,-20.176891326904297,-15.989753723144531,2.3168373107910156,10.621675491333008,10.31143569946289,9.693376541137695,486472__tkky__piano-chopped-edited.wav,240.02886962890625,1011712,0.011067708022892475
113,0.0033333334140479565,0.02151927351951599,-1.7402642965316772,1013248,,None_f56,0.0023776784849663577,-930.0930786132812,244.80911254882812,7.208019256591797,-3.0824737548828125,-17.948261260986328,130.87603759765625,26.460651397705078,-20.176891326904297,-15.989753723144531,2.3168373107910156,10.621675491333008,10.31143569946289,9.693376541137695,486472__tkky__piano-chopped-edited.wav,240.02886962890625,1011712,0.011067708022892475
114,0.0,0.004897959064692259,-2.3099849224090576,1036800,,None_f57,0.0010086683475452921,-990.5740966796875,182.80859375,-3.7801170349121094,-6.0776824951171875,-2.5720977783203125,117.7860107421875,46.26265335083008,-1.76055908203125,-15.593864440917969,-5.9268951416015625,7.401483535766602,10.870174407958984,4.3009796142578125,486472__tkky__piano-chopped-edited.wav,184.4935302734375,1013248,0.00823709275573492
115,0.0,0.004897959064692259,-2.3099849224090576,1036800,,None_f57,0.0010086683475452921,-990.5740966796875,182.80859375,-3.7801170349121094,-6.0776824951171875,-2.5720977783203125,117.7860107421875,46.26265335083008,-1.76055908203125,-15.593864440917969,-5.9268951416015625,7.401483535766602,10.870174407958984,4.3009796142578125,486472__tkky__piano-chopped-edited.wav,184.4935302734375,1013248,0.00823709275573492
116,0.0,0.10036281496286392,-0.998427152633667,1060864,,None_f58,0.0015613687165240025,-990.1239624023438,184.32626342773438,-1.6666603088378906,-3.1869430541992188,0.14670562744140625,121.3173828125,51.52116394042969,3.76220703125,-11.408500671386719,-3.792125701904297,7.974786758422852,11.084514617919922,5.25628662109375,486472__tkky__piano-chopped-edited.wav,153.01303100585938,1036800,0.006067154463380575
117,0.0,0.10036281496286392,-0.998427152633667,1060864,,None_f58,0.0015613687165240025,-990.1239624023438,184.32626342773438,-1.6666603088378906,-3.1869430541992188,0.14670562744140625,121.3173828125,51.52116394042969,3.76220703125,-11.408500671386719,-3.792125701904297,7.974786758422852,11.084514617919922,5.25628662109375,486472__tkky__piano-chopped-edited.wav,153.01303100585938,1036800,0.006067154463380575
118,0.0,0.027097506448626518,-1.567070722579956,1084928,,None_f59,0.0013501989714642787,-964.6571655273438,205.99798583984375,-4.234844207763672,1.4695816040039062,2.9369354248046875,113.01611328125,23.21524429321289,-22.060955047607422,-22.66651153564453,-6.9566192626953125,0.4040374755859375,-3.356231689453125,-7.181640625,486472__tkky__piano-chopped-edited.wav,337.1273193359375,1060864,0.015167885459959507
119,0.0,0.027097506448626518,-1.567070722579956,1084928,,None_f59,0.0013501989714642787,-964.6571655273438,205.99798583984375,-4.234844207763672,1.4695816040039062,2.9369354248046875,113.01611328125,23.21524429321289,-22.060955047607422,-22.66651153564453,-6.9566192626953125,0.4040374755859375,-3.356231689453125,-7.181640625,486472__tkky__piano-chopped-edited.wav,337.1273193359375,1060864,0.015167885459959507
120,0.0015419501578435302,0.02598639391362667,-1.611819863319397,1110016,,None_f60,0.0016337957005111538,-979.2350463867188,194.21820068359375,-10.900190353393555,-6.866432189941406,1.5910110473632812,118.31439208984375,36.1451301574707,-17.465282440185547,-31.77279281616211,-20.753334045410156,-6.884185791015625,-3.2620086669921875,-7.797271728515625,486472__tkky__piano-chopped-edited.wav,321.67523193359375,1084928,0.014907525852322578
121,0.0015419501578435302,0.02598639391362667,-1.611819863319397,1110016,,None_f60,0.0016337957005111538,-979.2350463867188,194.21820068359375,-10.900190353393555,-6.866432189941406,1.5910110473632812,118.31439208984375,36.1451301574707,-17.465282440185547,-31.77279281616211,-20.753334045410156,-6.884185791015625,-3.2620086669921875,-7.797271728515625,486472__tkky__piano-chopped-edited.wav,321.67523193359375,1084928,0.014907525852322578
122,0.0004761904710903764,0.0033333334140479565,-2.5440680980682373,1117696,,None_f61,0.00209527388215065,-958.1909790039062,215.85476684570312,-12.112478256225586,-1.7826766967773438,7.462150573730469,123.52655029296875,31.795093536376953,-18.264537811279297,-24.039146423339844,-11.517913818359375,-5.5272369384765625,-10.515434265136719,-15.683334350585938,486472__tkky__piano-chopped-edited.wav,345.84033203125,1110016,0.01705729216337204
123,0.0004761904710903764,0.0033333334140479565,-2.5440680980682373,1117696,,None_f61,0.00209527388215065,-958.1909790039062,215.85476684570312,-12.112478256225586,-1.7826766967773438,7.462150573730469,123.52655029296875,31.795093536376953,-18.264537811279297,-24.039146423339844,-11.517913818359375,-5.5272369384765625,-10.515434265136719,-15.683334350585938,486472__tkky__piano-chopped-edited.wav,345.84033203125,1110016,0.01705729216337204
124,0.0,0.020589569583535194,-1.6863527297973633,1133056,,None_f62,0.0008128423243761063,-983.4017333984375,186.08999633789062,-6.780691146850586,-0.34423065185546875,6.5085906982421875,107.14080810546875,27.287342071533203,-18.284038543701172,-25.492137908935547,-14.413902282714844,-5.9983978271484375,-6.23089599609375,-8.720993041992188,486472__tkky__piano-chopped-edited.wav,351.22735595703125,1117696,0.01621093787252903
125,0.0,0.020589569583535194,-1.6863527297973633,1133056,,None_f62,0.0008128423243761063,-983.4017333984375,186.08999633789062,-6.780691146850586,-0.34423065185546875,6.5085906982421875,107.14080810546875,27.287342071533203,-18.284038543701172,-25.492137908935547,-14.413902282714844,-5.9983978271484375,-6.23089599609375,-8.720993041992188,486472__tkky__piano-chopped-edited.wav,351.22735595703125,1117696,0.01621093787252903
126,0.0010657596867531538,0.007528344634920359,-2.18959379196167,1140224,,None_f63,0.0031686026070799145,-957.16162109375,218.45230102539062,-18.485876083374023,-12.3572998046875,-1.8856582641601562,127.4310302734375,33.7090950012207,-21.453105926513672,-30.986995697021484,-17.065757751464844,-6.0412445068359375,-7.9808349609375,-15.812820434570312,486472__tkky__piano-chopped-edited.wav,320.8158874511719,1133056,0.014927455224096775
